date,region,prediction_confirmed,prediction_deaths
2020-04-19,AFG,995,31
2020-04-20,AFG,1044,31
2020-04-21,AFG,1098,32
2020-04-22,AFG,1155,33
2020-04-23,AFG,1194,33
2020-04-24,AFG,1259,34
2020-04-25,AFG,1301,34
2020-04-26,AFG,1370,36
2020-04-27,AFG,1460,37
2020-04-28,AFG,1537,39
2020-04-29,AFG,1622,42
2020-04-30,AFG,1718,44
2020-05-01,AFG,1818,47
2020-05-02,AFG,1932,51
2020-05-03,AFG,2059,56
2020-05-04,AFG,2194,62
2020-05-05,AFG,2336,69
2020-05-06,AFG,2487,76
2020-05-07,AFG,2650,85
2020-05-08,AFG,2823,94
2020-05-09,AFG,3011,105
2020-05-10,AFG,3209,117
2020-05-11,AFG,3417,131
2020-05-12,AFG,3633,146
2020-05-13,AFG,3859,163
2020-05-14,AFG,4098,181
2020-05-15,AFG,4346,201
2020-05-16,AFG,4604,223
2020-05-17,AFG,4872,246
2020-05-18,AFG,5146,271
2020-05-19,AFG,5427,298
2020-05-20,AFG,5715,327
2020-05-21,AFG,6010,357
2020-05-22,AFG,6311,389
2020-05-23,AFG,6616,422
2020-05-24,AFG,6924,457
2020-05-25,AFG,7235,493
2020-05-26,AFG,7548,531
2020-05-27,AFG,7862,569
2020-05-28,AFG,8178,608
2020-05-29,AFG,8495,648
2020-05-30,AFG,8812,688
2020-05-31,AFG,9129,729
2020-06-01,AFG,9448,768
2020-06-02,AFG,9768,808
2020-06-03,AFG,10091,846
2020-06-04,AFG,10419,883
2020-06-05,AFG,10754,918
2020-06-06,AFG,11099,952
2020-06-07,AFG,11457,983
2020-06-08,AFG,11832,1011
2020-06-09,AFG,12231,1035
2020-06-10,AFG,12658,1057
2020-06-11,AFG,13122,1074
2020-06-12,AFG,13630,1087
2020-06-13,AFG,14191,1096
2020-06-14,AFG,14816,1100
2020-06-15,AFG,15517,1100
2020-06-16,AFG,16305,1100
2020-06-17,AFG,17183,1100
2020-06-18,AFG,18174,1100
2020-06-19,AFG,19305,1100
2020-06-20,AFG,20607,1100
2020-06-21,AFG,22100,1100
2020-06-22,AFG,23808,1101
2020-06-23,AFG,25742,1105
2020-06-24,AFG,27915,1114
2020-06-25,AFG,30322,1128
2020-06-26,AFG,32984,1148
2020-06-27,AFG,35946,1176
2020-06-28,AFG,39238,1213
2020-06-29,AFG,42888,1263
2020-06-30,AFG,46918,1327
2020-07-01,AFG,51348,1409
2020-07-02,AFG,56191,1511
2020-07-03,AFG,61467,1635
2020-07-04,AFG,67210,1785
2020-07-05,AFG,73455,1964
2020-07-06,AFG,80225,2177
2020-07-07,AFG,87543,2428
2020-07-08,AFG,95425,2720
2020-07-09,AFG,103889,3058
2020-07-10,AFG,112950,3446
2020-07-11,AFG,122629,3888
2020-07-12,AFG,132943,4390
2020-07-13,AFG,143902,4957
2020-07-14,AFG,155513,5591
2020-07-15,AFG,167778,6299
2020-07-16,AFG,180699,7085
2020-07-17,AFG,194271,7952
2020-07-18,AFG,208491,8905
2020-07-19,AFG,223346,9948
2020-07-20,AFG,238822,11083
2020-07-21,AFG,254898,12314
2020-07-22,AFG,271551,13642
2020-07-23,AFG,288754,15070
2020-07-24,AFG,306476,16596
2020-07-25,AFG,324685,18223
2020-07-26,AFG,343344,19947
2020-07-27,AFG,362414,21768
2020-07-28,AFG,381855,23682
2020-07-29,AFG,401630,25684
2020-07-30,AFG,421700,27769
2020-07-31,AFG,442031,29929
2020-08-01,AFG,462593,32156
2020-08-02,AFG,483360,34441
2020-08-03,AFG,504317,36771
2020-08-04,AFG,525457,39135
2020-08-05,AFG,546788,41517
2020-08-06,AFG,568334,43903
2020-08-07,AFG,590137,46276
2020-08-08,AFG,612260,48618
2020-08-09,AFG,634793,50910
2020-08-10,AFG,657853,53132
2020-08-11,AFG,681591,55264
2020-08-12,AFG,706196,57286
2020-08-13,AFG,731896,59177
2020-08-14,AFG,758964,60916
2020-08-15,AFG,787723,62486
2020-08-16,AFG,818549,63867
2020-08-17,AFG,851876,65044
2020-08-18,AFG,888201,66003
2020-08-19,AFG,928085,66733
2020-08-20,AFG,972161,67227
2020-08-21,AFG,1021133,67484
2020-08-22,AFG,1075785,67506
2020-08-23,AFG,1136976,67506
2020-08-24,AFG,1205026,67506
2020-08-25,AFG,1281243,67506
2020-08-26,AFG,1367177,67506
2020-08-27,AFG,1464613,67506
2020-08-28,AFG,1574915,67543
2020-08-29,AFG,1699367,67718
2020-08-30,AFG,1838752,68136
2020-08-31,AFG,1994249,68922
2020-09-01,AFG,2166058,70121
2020-09-02,AFG,2355358,71815
2020-09-03,AFG,2564812,74135
2020-09-04,AFG,2796462,77213
2020-09-05,AFG,3051992,81227
2020-09-06,AFG,3332747,86359
2020-09-07,AFG,3639737,92787
2020-09-08,AFG,3974063,100688
2020-09-09,AFG,4337134,110263
2020-09-10,AFG,4730797,121740
2020-09-11,AFG,5157031,135372
2020-09-12,AFG,5617215,151416
2020-09-13,AFG,6112473,170137
2020-09-14,AFG,6643680,191799
2020-09-15,AFG,7211629,216670
2020-09-16,AFG,7817217,245035
2020-09-17,AFG,8461324,277189
2020-09-18,AFG,9144608,313428
2020-09-19,AFG,9867357,354039
2020-09-20,AFG,10629553,399298
2020-09-21,AFG,11430909,449468
2020-09-22,AFG,12270967,504800
2020-09-23,AFG,13149082,565529
2020-09-24,AFG,14064371,631872
2020-09-25,AFG,15015622,704014
2020-09-26,AFG,16001287,782101
2020-09-27,AFG,17019545,866236
2020-09-28,AFG,18068377,956478
2020-09-29,AFG,19145572,1052835
